ele,x,y,z,flip
-1473.81006,-19.89993142,56.10999138,1324.65994,1473.81006
-1475.12,-19.88196511,56.10999138,1323.35,1475.12
-1479.29004,-19.86399881,56.10999138,1319.17996,1479.29004
-1482.18005,-19.8460325,56.10999138,1316.28995,1482.18005
-1490.06006,-19.8280662,56.10999138,1308.40994,1490.06006
-1485.43994,-19.81009989,56.10999138,1313.03006,1485.43994
-1488.69995,-19.79213358,56.10999138,1309.77005,1488.69995
-1490.51001,-19.77416728,56.10999138,1307.95999,1490.51001
-1488.56006,-19.75620097,56.10999138,1309.90994,1488.56006
-1490.56006,-19.73823467,56.10999138,1307.90994,1490.56006
-1489.92004,-19.72026836,56.10999138,1308.54996,1489.92004
-1489.29004,-19.70230206,56.10999138,1309.17996,1489.29004
-1492.22998,-19.68433575,56.10999138,1306.24002,1492.22998
-1492.58997,-19.66636944,56.10999138,1305.88003,1492.58997
-1495.76001,-19.64840314,56.10999138,1302.70999,1495.76001
-1502.22998,-19.63043683,56.10999138,1296.24002,1502.22998
-1523.68005,-19.61247053,56.10999138,1274.78995,1523.68005
-1547.93994,-19.59450422,56.10999138,1250.53006,1547.93994
-1570.88,-19.57653792,56.10999138,1227.59,1570.88
-1599.17004,-19.55857161,56.10999138,1199.29996,1599.17004
-1599.34998,-19.5406053,56.10999138,1199.12002,1599.34998
-1587.35999,-19.522639,56.10999138,1211.11001,1587.35999
-1598.76001,-19.50467269,56.10999138,1199.70999,1598.76001
-1593.65002,-19.48670639,56.10999138,1204.81998,1593.65002
-1583.78003,-19.46874008,56.10999138,1214.68997,1583.78003
-1564.55005,-19.45077378,56.10999138,1233.91995,1564.55005
-1541.10999,-19.43280747,56.10999138,1257.36001,1541.10999
-1535.81006,-19.41484117,56.10999138,1262.65994,1535.81006
-1521.37,-19.39687486,56.10999138,1277.1,1521.37
-1501.42004,-19.37890855,56.10999138,1297.04996,1501.42004
-1493.81006,-19.36094225,56.10999138,1304.65994,1493.81006
-1475.53003,-19.34297594,56.10999138,1322.93997,1475.53003
-1462.77002,-19.32500964,56.10999138,1335.69998,1462.77002
-1456.83997,-19.30704333,56.10999138,1341.63003,1456.83997
-1458.96997,-19.28907703,56.10999138,1339.50003,1458.96997
-1444.70996,-19.27111072,56.10999138,1353.76004,1444.70996
-1434.47998,-19.25314441,56.10999138,1363.99002,1434.47998
-1426.88,-19.23517811,56.10999138,1371.59,1426.88
-1423.07996,-19.2172118,56.10999138,1375.39004,1423.07996
-1419.01001,-19.1992455,56.10999138,1379.45999,1419.01001
-1419.58997,-19.18127919,56.10999138,1378.88003,1419.58997
-1420.41003,-19.16331289,56.10999138,1378.05997,1420.41003
-1412.04004,-19.14534658,56.10999138,1386.42996,1412.04004
-1406.46997,-19.12738027,56.10999138,1392.00003,1406.46997
-1408.18994,-19.10941397,56.10999138,1390.28006,1408.18994
-1400.58997,-19.09144766,56.10999138,1397.88003,1400.58997
-1395.60999,-19.07348136,56.10999138,1402.86001,1395.60999
-1392.30005,-19.05551505,56.10999138,1406.16995,1392.30005
-1503.41003,-20.76231409,56.09746682,1295.05997,1503.41003
-1488.96997,-20.74434779,56.09746682,1309.50003,1488.96997
-1507.97998,-20.72638148,56.09746682,1290.49002,1507.97998
-1485.89001,-20.70841517,56.09746682,1312.57999,1485.89001
-1467.79004,-20.69044887,56.09746682,1330.67996,1467.79004
-1488.75,-20.67248256,56.09746682,1309.72,1488.75
-1467.52002,-20.65451626,56.09746682,1330.94998,1467.52002
-1441.58997,-20.63654995,56.09746682,1356.88003,1441.58997
-1457.83997,-20.61858365,56.09746682,1340.63003,1457.83997
-1447.52002,-20.60061734,56.09746682,1350.94998,1447.52002
-1444.76001,-20.58265103,56.09746682,1353.70999,1444.76001
-1444.26001,-20.56468473,56.09746682,1354.20999,1444.26001
-1443.31006,-20.54671842,56.09746682,1355.15994,1443.31006
-1444.20996,-20.52875212,56.09746682,1354.26004,1444.20996
-1455.75,-20.51078581,56.09746682,1342.72,1455.75
-1465.89001,-20.49281951,56.09746682,1332.57999,1465.89001
-1474.13,-20.4748532,56.09746682,1324.34,1474.13
-1476.30005,-20.45688689,56.09746682,1322.16995,1476.30005
-1479.73999,-20.43892059,56.09746682,1318.73001,1479.73999
-1484.63,-20.42095428,56.09746682,1313.84,1484.63
-1487.56995,-20.40298798,56.09746682,1310.90005,1487.56995
-1488.19995,-20.38502167,56.09746682,1310.27005,1488.19995
-1493.27002,-20.36705537,56.09746682,1305.19998,1493.27002
-1494.08997,-20.34908906,56.09746682,1304.38003,1494.08997
-1491.59998,-20.33112275,56.09746682,1306.87002,1491.59998
-1491.81995,-20.31315645,56.09746682,1306.65005,1491.81995
-1492.68005,-20.29519014,56.09746682,1305.78995,1492.68005
-1482.72998,-20.27722384,56.09746682,1315.74002,1482.72998
-1482.77002,-20.25925753,56.09746682,1315.69998,1482.77002
-1481.5,-20.24129123,56.09746682,1316.97,1481.5
-1474.57996,-20.22332492,56.09746682,1323.89004,1474.57996
-1471,-20.20535862,56.09746682,1327.47,1471
-1472.85999,-20.18739231,56.09746682,1325.61001,1472.85999
-1462,-20.169426,56.09746682,1336.47,1462
-1461.68005,-20.1514597,56.09746682,1336.78995,1461.68005
-1459.06006,-20.13349339,56.09746682,1339.40994,1459.06006
-1460.05005,-20.11552709,56.09746682,1338.41995,1460.05005
-1464.67004,-20.09756078,56.09746682,1333.79996,1464.67004
-1469.06006,-20.07959448,56.09746682,1329.40994,1469.06006
-1464.53003,-20.06162817,56.09746682,1333.93997,1464.53003
-1462.94995,-20.04366186,56.09746682,1335.52005,1462.94995
-1461.05005,-20.02569556,56.09746682,1337.41995,1461.05005
-1463.63,-20.00772925,56.09746682,1334.84,1463.63
-1468.88,-19.98976295,56.09746682,1329.59,1468.88
-1472.44995,-19.97179664,56.09746682,1326.02005,1472.44995
-1472.27002,-19.95383034,56.09746682,1326.19998,1472.27002
-1475.48999,-19.93586403,56.09746682,1322.98001,1475.48999
-1475.70996,-19.91789772,56.09746682,1322.76004,1475.70996
-1475.53003,-19.89993142,56.09746682,1322.93997,1475.53003
-1478.79004,-19.88196511,56.09746682,1319.67996,1478.79004
-1483.18005,-19.86399881,56.09746682,1315.28995,1483.18005
-1486.47998,-19.8460325,56.09746682,1311.99002,1486.47998
-1489.06006,-19.8280662,56.09746682,1309.40994,1489.06006
-1489.19995,-19.81009989,56.09746682,1309.27005,1489.19995
-1490.78003,-19.79213358,56.09746682,1307.68997,1490.78003
-1495.84998,-19.77416728,56.09746682,1302.62002,1495.84998
-1493.68005,-19.75620097,56.09746682,1304.78995,1493.68005
-1498.52002,-19.73823467,56.09746682,1299.94998,1498.52002
-1495.62,-19.72026836,56.09746682,1302.85,1495.62
-1495.31006,-19.70230206,56.09746682,1303.15994,1495.31006
-1508.43005,-19.68433575,56.09746682,1290.03995,1508.43005
-1513.41003,-19.66636944,56.09746682,1285.05997,1513.41003
-1511.32996,-19.64840314,56.09746682,1287.14004,1511.32996
-1518.80005,-19.63043683,56.09746682,1279.66995,1518.80005
-1537.84998,-19.61247053,56.09746682,1260.62002,1537.84998
-1562.42004,-19.59450422,56.09746682,1236.04996,1562.42004
-1590.70996,-19.57653792,56.09746682,1207.76004,1590.70996
