FID,STATE_NM,COUNTY_NM,index,Slope,R,p,Id
195,IOWA,FRANKLIN,IOWA_FRANKLIN,1.943020575,0.862899365,1.96E-16,195
196,ILLINOIS,MENARD,ILLINOIS_MENARD,1.932673469,0.744944749,8.36E-10,196
197,KANSAS,THOMAS,KANSAS_THOMAS,-0.065228955,-0.045425371,0.761744024,197
198,IOWA,MARION,IOWA_MARION,1.971348416,0.795670306,3.03E-12,198
199,IOWA,MONTGOMERY,IOWA_MONTGOMERY,2.202646632,0.871615446,4.22E-17,199
200,IOWA,PLYMOUTH,IOWA_PLYMOUTH,2.661945701,0.885251246,6.54E-18,200
201,IOWA,POWESHIEK,IOWA_POWESHIEK,2.283048749,0.845728251,3.03E-15,201
202,ILLINOIS,TAZEWELL,ILLINOIS_TAZEWELL,2.218052591,0.830510092,2.63E-14,202
203,IOWA,POLK,IOWA_POLK,1.993490139,0.844169637,3.82E-15,203
204,NEBRASKA,FRONTIER,NEBRASKA_FRONTIER,0.705628959,0.578503232,8.73E-06,204
205,SOUTH DAKOTA,EDMUNDS,SOUTH DAKOTA_EDMUNDS,2.365285714,0.874219908,2.35E-16,205
206,WISCONSIN,WAUSHARA,WISCONSIN_WAUSHARA,1.770050371,0.876363562,1.74E-17,206
207,MISSOURI,HOWARD,MISSOURI_HOWARD,1.6243083,0.680922419,2.64E-07,207
208,MISSOURI,LINN,MISSOURI_LINN,1.402058279,0.576419101,2.23E-05,208
209,WISCONSIN,ONEIDA,WISCONSIN_ONEIDA,-1.921428571,-0.385883047,0.192821427,209
210,WISCONSIN,VILAS,WISCONSIN_VILAS,-2.801666667,-0.310909428,0.415448107,210
211,SOUTH DAKOTA,DAVISON,SOUTH DAKOTA_DAVISON,2.382423682,0.83040862,9.49E-13,211
212,OHIO,PAULDING,OHIO_PAULDING,1.521266968,0.745882289,3.37E-10,212
213,SOUTH DAKOTA,BUFFALO,SOUTH DAKOTA_BUFFALO,2.09630662,0.734564287,4.57E-08,213
214,MISSOURI,DAVIESS,MISSOURI_DAVIESS,1.530367998,0.633387303,1.35E-06,214
215,MISSOURI,BUCHANAN,MISSOURI_BUCHANAN,1.891122449,0.781879973,3.31E-11,215
216,MISSOURI,SCOTLAND,MISSOURI_SCOTLAND,1.5546716,0.608589375,7.22E-06,216
217,WISCONSIN,MANITOWOC,WISCONSIN_MANITOWOC,1.818052591,0.86109265,2.66E-16,217
218,NEBRASKA,THURSTON,NEBRASKA_THURSTON,2.701632653,0.877757017,1.25E-16,218
219,MISSOURI,GREENE,MISSOURI_GREENE,1.690527009,0.71943382,2.57E-08,219
220,INDIANA,STARKE,INDIANA_STARKE,1.385503001,0.748261699,4.20E-10,220
221,MISSOURI,LACLEDE,MISSOURI_LACLEDE,1.841396855,0.787942208,4.94E-11,221
222,MISSOURI,MCDONALD,MISSOURI_MCDONALD,1.808578431,0.41824937,0.094771642,222
223,MISSOURI,MACON,MISSOURI_MACON,1.471465821,0.543875583,0.000135769,223
224,MISSOURI,MARION,MISSOURI_MARION,1.895581633,0.688126649,4.67E-08,224
225,MINNESOTA,WASHINGTON,MINNESOTA_WASHINGTON,2.245240331,0.843186169,4.41E-15,225
226,NEBRASKA,HITCHCOCK,NEBRASKA_HITCHCOCK,0.031408163,0.028974523,0.84333677,226
227,MISSOURI,BARTON,MISSOURI_BARTON,1.659294118,0.679542225,4.18E-08,227
228,NEBRASKA,HAYES,NEBRASKA_HAYES,1.681507726,0.827596218,3.88E-14,228
229,OHIO,CLARK,OHIO_CLARK,1.986169214,0.874712021,2.38E-17,229
230,MICHIGAN,DICKINSON,MICHIGAN_DICKINSON,1.028574047,0.30994028,0.084287704,230
231,KANSAS,WOODSON,KANSAS_WOODSON,0.9066605,0.516811451,0.000199825,231
232,ILLINOIS,DOUGLAS,ILLINOIS_DOUGLAS,1.96321267,0.766912958,5.31E-11,232
233,MINNESOTA,MCLEOD,MINNESOTA_MCLEOD,2.253846154,0.877203636,1.49E-17,233
234,MISSOURI,NEWTON,MISSOURI_NEWTON,2.026899225,0.772715413,7.99E-10,234
235,NEBRASKA,STANTON,NEBRASKA_STANTON,2.680968326,0.869479447,1.27E-16,235
236,MINNESOTA,RAMSEY,MINNESOTA_RAMSEY,1.811661507,0.52234929,0.026160184,236
237,NEBRASKA,BANNER,NEBRASKA_BANNER,0.224474982,0.151250759,0.327059211,237
238,MISSOURI,STONE,MISSOURI_STONE,1.228928571,0.395120229,0.144941199,238
239,NEBRASKA,BUTLER,NEBRASKA_BUTLER,2.179437377,0.894770892,3.88E-19,239
240,NEBRASKA,DODGE,NEBRASKA_DODGE,2.536856484,0.907196879,1.95E-20,240
241,KANSAS,BROWN,KANSAS_BROWN,2.274780159,0.772644842,1.95E-11,241
242,IOWA,ADAIR,IOWA_ADAIR,1.873828054,0.797180531,2.57E-12,242
243,ILLINOIS,MCDONOUGH,ILLINOIS_MCDONOUGH,2.200669683,0.840186964,1.27E-14,243
244,KANSAS,PHILLIPS,KANSAS_PHILLIPS,-0.439040816,-0.235665913,0.103074772,244
245,MICHIGAN,GRAND TRAVERSE,MICHIGAN_GRAND TRAVERSE,0.935855204,0.600145286,3.24E-06,245
246,IOWA,BENTON,IOWA_BENTON,2.114057031,0.835012891,1.42E-14,246
247,IOWA,HOWARD,IOWA_HOWARD,2.330965594,0.878074339,1.26E-17,247
248,WISCONSIN,OZAUKEE,WISCONSIN_OZAUKEE,1.700326858,0.780730993,1.56E-10,248
249,ILLINOIS,MCLEAN,ILLINOIS_MCLEAN,2.094356698,0.802502741,8.46E-13,249
250,OHIO,SHELBY,OHIO_SHELBY,1.835742338,0.802305327,8.65E-13,250
251,INDIANA,WABASH,INDIANA_WABASH,1.852941176,0.83002293,5.09E-14,251
252,SOUTH DAKOTA,BON HOMME,SOUTH DAKOTA_BON HOMME,2.287375566,0.815360299,3.23E-13,252
253,WISCONSIN,ROCK,WISCONSIN_ROCK,2.063766755,0.882142824,5.66E-18,253
254,INDIANA,MARTIN,INDIANA_MARTIN,1.961632653,0.730287644,2.60E-09,254
255,NEBRASKA,MCPHERSON,NEBRASKA_MCPHERSON,3.125422139,0.885496394,3.23E-14,255
256,MICHIGAN,CRAWFORD,MICHIGAN_CRAWFORD,9.5,0.773099036,0.437411099,256
257,INDIANA,RIPLEY,INDIANA_RIPLEY,1.741728507,0.79127012,4.83E-12,257
258,MISSOURI,TANEY,MISSOURI_TANEY,0.273076923,0.078525685,0.798728742,258
259,KANSAS,CHAUTAUQUA,KANSAS_CHAUTAUQUA,1.237656491,0.661351478,5.63E-07,259
260,NEBRASKA,GARFIELD,NEBRASKA_GARFIELD,2.263113634,0.942350098,2.01E-25,260
261,MISSOURI,CALDWELL,MISSOURI_CALDWELL,1.603438175,0.627352366,1.09E-06,261
262,MISSOURI,SCHUYLER,MISSOURI_SCHUYLER,1.091232477,0.535433476,0.000258366,262
263,MISSOURI,SULLIVAN,MISSOURI_SULLIVAN,1.218763569,0.552344674,4.70E-05,263
264,IOWA,JACKSON,IOWA_JACKSON,2.209758388,0.859608655,3.41E-16,264
265,ILLINOIS,STARK,ILLINOIS_STARK,2.420575429,0.875648953,2.00E-17,265
266,KANSAS,CLAY,KANSAS_CLAY,1.679471459,0.780312821,4.24E-10,266
267,SOUTH DAKOTA,KINGSBURY,SOUTH DAKOTA_KINGSBURY,2.862868778,0.930664944,4.87E-23,267
268,KANSAS,STANTON,KANSAS_STANTON,1.132148285,0.575914853,1.84E-05,268
269,NEBRASKA,THOMAS,NEBRASKA_THOMAS,2.137433155,0.812537125,9.33E-09,269
270,MICHIGAN,ARENAC,MICHIGAN_ARENAC,1.765701357,0.856535679,1.10E-15,270
271,OHIO,DARKE,OHIO_DARKE,1.844766499,0.785252366,5.51E-12,271
272,ILLINOIS,FORD,ILLINOIS_FORD,1.875847349,0.713753473,2.86E-09,272
273,SOUTH DAKOTA,MINER,SOUTH DAKOTA_MINER,2.606642857,0.896802608,2.91E-18,273
274,ILLINOIS,VERMILION,ILLINOIS_VERMILION,1.805628959,0.770677109,3.74E-11,274
275,KANSAS,CHASE,KANSAS_CHASE,1.329824826,0.588971629,3.26E-05,275
276,KANSAS,STAFFORD,KANSAS_STAFFORD,1.027692141,0.601403771,6.17E-06,276
277,INDIANA,WASHINGTON,INDIANA_WASHINGTON,1.634461538,0.718192858,2.98E-09,277
278,INDIANA,NOBLE,INDIANA_NOBLE,1.859276018,0.897667346,2.00E-19,278
279,INDIANA,MADISON,INDIANA_MADISON,1.76150858,0.821740049,8.32E-14,279
280,WISCONSIN,LAFAYETTE,WISCONSIN_LAFAYETTE,2.179868522,0.847323523,2.38E-15,280
281,IOWA,MARSHALL,IOWA_MARSHALL,2.364063348,0.867340231,1.84E-16,281
282,ILLINOIS,CALHOUN,ILLINOIS_CALHOUN,1.93394898,0.833923771,1.01E-13,282
283,NEBRASKA,KNOX,NEBRASKA_KNOX,2.825847349,0.922932817,2.26E-22,283
284,IOWA,DECATUR,IOWA_DECATUR,1.717173469,0.657260569,2.90E-07,284
285,OHIO,PERRY,OHIO_PERRY,1.817806122,0.849148686,1.26E-14,285
286,OHIO,COSHOCTON,OHIO_COSHOCTON,1.384026296,0.801500013,9.48E-13,286
287,ILLINOIS,LAWRENCE,ILLINOIS_LAWRENCE,2.079234694,0.858481265,3.13E-15,287
288,KANSAS,COWLEY,KANSAS_COWLEY,1.253739687,0.639891333,9.74E-07,288
289,OHIO,HANCOCK,OHIO_HANCOCK,1.601642257,0.739778949,8.38E-10,289
290,NEBRASKA,SHERMAN,NEBRASKA_SHERMAN,2.327939042,0.948898953,1.07E-26,290
291,SOUTH DAKOTA,BENNETT,SOUTH DAKOTA_BENNETT,0.984189723,0.535060788,0.000152583,291
292,SOUTH DAKOTA,MELLETTE,SOUTH DAKOTA_MELLETTE,0.500472163,0.440413412,0.002773028,292
293,MINNESOTA,LAC QUI PARLE,MINNESOTA_LAC QUI PARLE,2.731819005,0.909157466,2.84E-20,293
294,NEBRASKA,GARDEN,NEBRASKA_GARDEN,0.685568918,0.459860884,0.001145866,294
295,KANSAS,SMITH,KANSAS_SMITH,0.218115942,0.120704873,0.429631986,295
296,IOWA,DALLAS,IOWA_DALLAS,1.870729104,0.810747652,3.23E-13,296
297,OHIO,CLINTON,OHIO_CLINTON,2.183501238,0.906971299,2.07E-20,297
298,SOUTH DAKOTA,TRIPP,SOUTH DAKOTA_TRIPP,1.490694101,0.771202749,2.24E-11,298
299,MICHIGAN,MONTMORENCY,MICHIGAN_MONTMORENCY,1.301172596,0.69629414,1.09E-07,299
300,NEBRASKA,BUFFALO,NEBRASKA_BUFFALO,2.082162896,0.945856699,1.36E-25,300
301,INDIANA,JOHNSON,INDIANA_JOHNSON,1.373719457,0.67521733,5.49E-08,301
302,INDIANA,DE KALB,INDIANA_DE KALB,1.701022624,0.842741197,8.84E-15,302
303,INDIANA,FOUNTAIN,INDIANA_FOUNTAIN,1.856081633,0.766858619,1.32E-10,303
304,OHIO,MONROE,OHIO_MONROE,1.349315197,0.66082702,3.47E-06,304
305,NEBRASKA,CHERRY,NEBRASKA_CHERRY,2.906642857,0.944740295,2.10E-24,305
306,KANSAS,MEADE,KANSAS_MEADE,2.779192106,0.936781182,1.09E-21,306
307,ILLINOIS,EDWARDS,ILLINOIS_EDWARDS,1.743316327,0.719220785,5.83E-09,307
308,IOWA,MAHASKA,IOWA_MAHASKA,2.135977119,0.815905924,1.73E-13,308
309,MISSOURI,CARTER,MISSOURI_CARTER,-0.266483516,-0.070493942,0.818991527,309
310,MICHIGAN,KALAMAZOO,MICHIGAN_KALAMAZOO,1.802660633,0.862615863,4.11E-16,310
311,MISSOURI,MONTGOMERY,MISSOURI_MONTGOMERY,1.112130916,0.520956307,0.000146907,311
312,IOWA,WAYNE,IOWA_WAYNE,1.610244344,0.63793234,4.77E-07,312
313,MINNESOTA,FARIBAULT,MINNESOTA_FARIBAULT,2.060142577,0.879742005,9.10E-18,313
